Dataset 0,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.14829400312303442,61.77381885927227,0.08024058545603263,73.83795626384895,0.06883131099918693,65.92521577859418,0.06837108610513387,58.963554017576826,0.09401419180907,53.51241902083956,0.08717015052746913,42.49625320618195,0.1290618408837343,39.789885920114074,0.33406771035674,38.941316933641886
0.25849728608686795,65.91537349676904,0.23026641758579425,70.00259914677267,0.2588677110015938,63.125063639116185,0.32573020989513357,60.03179255899916,0.3940166798894378,46.21213553258028,0.21959425129259502,46.10901352222871,0.31187963213124426,39.22349295959225,0.8602170142338093,38.3980474677969
0.4348756704834371,72.14163465435303,0.4247282728194328,65.15193080888204,0.384042147185639,58.77710783095248,0.5421770243534088,56.428988232543574,0.6686222104234902,42.50882010101624,0.31881480970138876,49.55315396800194,0.5611813823161462,38.41526717044438,1.0292437736561024,41.602996484542615
0.6142174541978127,76.90223769479543,0.5969945664959648,60.639808393056,0.4677312379198759,54.07463394985564,1.0657457815031073,54.467452734426246,0.958274849993602,50.60066052231379,0.37642835616060455,53.55925690183206,0.735643863744678,38.21668212318474,1.2107886501966454,46.45375870422981
0.9549971507481496,75.29067502033291,0.7528424306187906,54.66231358729531,0.5596841717517225,49.69334602209248,1.608561400293484,53.52230284973306,1.231599047072626,56.549280552903454,0.42577219757911466,57.28833030095131,1.009640438168916,39.10046698791362,1.3368835361687976,51.857762269284564
1.138278908555518,71.22934850073077,0.8641944049848553,50.15108917126253,0.6599201202640685,45.488829742379934,1.863105054195909,54.9418874547538,1.5809965483057558,52.59260774557299,0.4751285112169761,60.923453873213546,1.192188829478443,40.56339028750298,1.4434024008141408,56.63916829130164
1.5215003203355013,62.768231175806754,1.0462395422435682,44.97647761249118,0.7766487793050842,42.190147526649426,2.1288250638587987,55.60031518954317,1.8312849927710904,44.35188304036774,0.5244676131921326,64.68822820653844,1.441188525187426,42.03045848696458,1.5910391793272112,60.371490136642755
1.6547185896678047,60.39873626673416,1.4490766370078956,45.18192567883207,0.876742704873934,39.05545134676136,2.3026965321658093,59.85367080130262,2.146063666557029,38.37345451891291,0.5820690615985784,68.78546247241985,1.6156331486655229,41.96639250997745,1.7209180119282745,62.300240624450254
1.9377381911815506,55.88498112401125,1.6394525931821344,50.25239987521288,1.059298057949536,40.46593356117779,2.5266314889478854,62.415194802532525,2.545994609490371,41.699013071529905,0.664628917592772,72.58920591495563,1.889980249145431,40.20976019535715,1.9241914901334214,64.07289221637453
2.237004105621959,54.13310598184955,1.7718402127056585,54.13996343481638,1.2333007566808818,43.73076617653463,2.7677264734462788,60.85583448877996,2.9027587023609978,44.822276761625545,0.7721098714213985,76.38050273048657,2.0618941459333904,38.352147432908836,2.149860709016259,63.99910316517943
2.436158009775458,55.65215426851857,2.0620288459023817,58.19431004693443,1.3822738711363192,47.825244195323265,2.9510069483968002,56.80417137994024,4.323100280389292,45.32557707303533,0.921146640358935,79.99548889593238,2.3054357716867337,39.21972655550063,2.319377626659048,59.340459837628885
2.6513337269073003,61.62417943917477,2.2362632557925073,59.71372569715524,1.5362765862196248,51.575389732989834,3.132273418275244,52.280843646888535,4.6975759225159415,40.173495104532066,1.104050830071404,78.77827986209209,2.47800480014206,40.76991391268719,2.4862170082515562,53.99414459565753
2.8002295759638574,66.30067663534251,2.6433490120787657,59.20039636078148,1.6175410418771072,54.41066566687129,3.292499966806736,49.81934967944926,5.046029775632972,43.32506619720208,1.253928453360826,76.05933951870611,2.720183098936522,43.56433490245148,2.600323596983491,49.58998216406931
2.9159817493169684,70.35759479232313,3.1994915090512097,62.151611454120186,1.7213405529024315,59.11735470457352,3.4881647675967815,50.8049496441163,5.244382963304133,50.87569336809038,1.3707325693289145,72.19226085049075,2.891653438250833,45.04791961877203,2.7459935955921835,45.79092698019453
3.2260236612766726,70.8603522220397,3.34072442653849,61.980420038984086,1.8370798976870666,63.27090696917848,3.673889833175019,55.15476442847544,5.4980055438074835,59.233472686500434,1.49587084498557,68.11669243319317,3.0975236325248665,48.11703800315047,2.9815637967195614,45.62438446333887
3.4066488363622702,65.95351807889699,3.523568409446637,61.21673244206258,1.9528897995983154,66.89297164184956,3.781331766774532,59.23998998803041,5.907261919796072,63.22627786374991,1.6292490705310505,64.54229099467958,3.30034436916757,53.300068309983786,3.093662233413785,45.91867328195535
3.490174042134234,62.48554492270111,3.9644144679610585,56.67810270506595,2.1018979958151576,70.7231883197314,3.9502521132213224,63.24651892752004,6.343242860339565,64.05002383527534,1.7875613318138295,60.857985235392285,3.4161900841658137,56.65236276553691,3.251399638768294,46.5646004514406
